AnoAtendimento;TrimestreAtendimento;MesAtendimento;DataAtendimento;CodigoRegiao;Regiao;UF;CodigoTipoAtendimento;CodigoAssunto;GrupoAssunto;CodigoProblema;GrupoProblema;SexoConsumidor;FaixaEtariaConsumidor;TipoFornecedor;RazaoSocialSindec;NomeFantasiaSindec
2015;1;3;2015-03-20 13:02:21.000;3;Sudeste;SP;3;235;Curso de Línguas;203;Problemas com Contrato;F;Nao Informada;1;AURELIANO & RIBEIRO CURSOS DE INF. INGLÊS E EDUC.;NULL
2015;1;1;2015-01-28 11:28:01.000;5;Centro-oeste;DF;2;235;Curso de Línguas;203;Problemas com Contrato;F;Nao Informada;1;SERGIO DA CRUZ DOS SANTOS 00390826103;INFOR SUCESS
2015;1;3;2015-03-31 09:48:33.000;3;Sudeste;SP;3;252;Instalação ( Hidráulica / Elétrica ) / Perfuração / Pavimentação / Impermeabilização;194;Problemas com Cobrança;M;Nao Informada;1;MEGA DESENTUPIDORA & DEDETIZADORA;NULL
2015;1;2;2015-02-12 09:11:16.000;3;Sudeste;MG;9;233;Escola ( Pré, 1º, 2º Graus e Superior );196;Problemas com Cobrança;F;Nao Informada;1;INSTITUTO METODISTA GRANBERY;COLÉGIO GRAMBERY
2015;1;3;2015-03-18 13:32:58.000;3;Sudeste;MG;6;264;Automóvel - Locação / Assistência Automobilística ( Clube do Automóvel, Etc. ) / Auto Escola;196;Problemas com Cobrança;M;entre 21 a 30 anos;1;MULTIPLICAR;MULTIPLICAR
2015;1;2;2015-02-25 09:10:28.000;3;Sudeste;SP;3;264;Automóvel - Locação / Assistência Automobilística ( Clube do Automóvel, Etc. ) / Auto Escola;203;Problemas com Contrato;M;entre 61 a 70 anos;1;VINIX ASSISTENCIA 24 HORAS EIRELI ME;VINIX
2015;1;3;2015-03-03 12:33:17.000;3;Sudeste;SP;3;264;Automóvel - Locação / Assistência Automobilística ( Clube do Automóvel, Etc. ) / Auto Escola;194;Problemas com Cobrança;M;entre 41 a 50 anos;1;CORAC LOCADORA DE VEICULOS LTDA;NULL
2015;1;3;2015-03-10 14:00:20.000;3;Sudeste;MG;2;234;Curso de Informática;203;Problemas com Contrato;F;Nao Informada;1;PROVEN CURSOS DE INFORMATICA LTDA ME;
2015;1;2;2015-02-02 12:13:45.000;3;Sudeste;SP;3;63;Financeira;27;Problemas com Contrato;M;entre 31 a 40 anos;1;SKY BRASIL SERVIÇOS LTDA;SKY BRASIL SERVIÇOS LTDA
2015;1;2;2015-02-26 10:57:59.000;5;Centro-oeste;DF;3;63;Financeira;28;Problemas com Cobrança;F;entre 31 a 40 anos;1;SKY BRASIL SERVIÇOS LTDA;SKY
2015;1;1;2015-01-09 16:04:32.000;3;Sudeste;SP;3;129;Carros;102;Problemas com Garantia de Produtos;F;entre 21 a 30 anos;1;FIAT SINAL;
2015;1;1;2015-01-22 15:29:58.000;3;Sudeste;SP;2;129;Carros;102;Problemas com Garantia de Produtos;F;entre 21 a 30 anos;1;MAIS DISTRIBUIDORA DE  VEICULO SA;SINAL
2015;1;1;2015-01-15 14:05:31.000;4;Sul;RS;6;94;Eletrodomésticos Linha Branca;102;Problemas com Garantia de Produtos;M;entre 31 a 40 anos;1;LUIZASEG SEGUROS S.A.;GARANTIA PLUS
2015;1;1;2015-01-22 13:22:47.000;3;Sudeste;SP;2;284;Plano de Saúde;179;Problemas com Cobrança;F;entre 61 a 70 anos;1;SUL AMERICA SEGURO SAUDE S.A;
2015;1;3;2015-03-16 10:13:21.000;5;Centro-oeste;DF;2;63;Financeira;27;Problemas com Contrato;M;Nao Informada;1;SKY BRASIL SERVIÇOS LTDA;SKY
2015;1;3;2015-03-28 11:42:09.000;5;Centro-oeste;DF;3;63;Financeira;28;Problemas com Cobrança;M;entre 61 a 70 anos;1;SKY BRASIL SERVIÇOS LTDA;SKY
2015;1;3;2015-03-30 11:37:31.000;3;Sudeste;RJ;6;63;Financeira;28;Problemas com Cobrança;M;mais de 70 anos;1;SKY BRASIL SERVIÇOS LTDA.;SKY
2015;1;3;2015-03-25 11:13:24.000;5;Centro-oeste;MT;3;233;Escola ( Pré, 1º, 2º Graus e Superior );251;Problemas com SAC;M;entre 21 a 30 anos;1;FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO;FNDE
2015;1;3;2015-03-25 11:11:15.000;5;Centro-oeste;MT;3;233;Escola ( Pré, 1º, 2º Graus e Superior );251;Problemas com SAC;M;entre 31 a 40 anos;1;FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO;FNDE
2015;1;3;2015-03-19 15:53:20.000;3;Sudeste;SP;3;132;Vestuário ( Calçado / Roupa );105;Vício ou Má Qualidade de Produto ou Serviço;M;entre 41 a 50 anos;1;NIKE DO BRASIL COMÉRCIO E PARTICIPAÇÕES LTDA;NIKE.COM.BR
2015;1;2;2015-02-03 17:22:21.000;2;Nordeste;MA;2;276;Agências e Operadoras de viagens (pacotes turísticos);205;Problemas Diversos com Produtos e Serviços;M;entre 41 a 50 anos;1;DECOLAR. COM LTDA.;DECOLAR
2015;1;3;2015-03-18 10:36:52.000;3;Sudeste;SP;3;258;Consultoria / Assessoria / Agenciamento ( Recolocação Profissional, Agência de Empregada, de Casamento, Etc. );194;Problemas com Cobrança;F;entre 41 a 50 anos;1;ED. OFICIAL DE LISTAS TELEFONICA DO EST. DE SP LTD;
2015;1;2;2015-02-09 14:24:20.000;4;Sul;SC;3;89;Acessório Para Veículo ( Alarme, Amortecedor, Câmbio, Buzina, Estofamento, Lâmpada, Bateria, etc.);115;Problemas com Desistência de Compra ou Contratação;F;entre 41 a 50 anos;1;NOVA CASA BAHIA S/A;CASA BAHIA
2015;1;1;2015-01-07 10:42:47.000;3;Sudeste;SP;3;146;Televisão / Aparelho DVD / Filmadora;116;Problemas com Contrato;F;Nao Informada;1;B2W COMPANHIA GLOBAL DO VAREJO;AMERICANAS.COM/SUBMARINO/SHOPTIME/SOUBARATO
2015;1;1;2015-01-28 13:50:20.000;3;Sudeste;SP;2;112;Brinquedos;107;Problemas na Entrega de Produtos;M;entre 21 a 30 anos;1;B2W COMPANHIA GLOBAL DO VAREJO;AMERICANAS.COM/SUBMARINO/SHOPTIME/SOUBARATO
2015;1;2;2015-02-19 11:45:49.000;5;Centro-oeste;GO;6;262;Estacionamento ( Particular, Supermercado, Shopping, Etc. );202;Vício ou Má Qualidade de Produto ou Serviço;F;entre 31 a 40 anos;1;SIA PARKING ADMINISTRADORA DE ESTACIONAMENTOS LTDA;SIA PARKING ARAGUAIA SHOPPING
2015;1;3;2015-03-27 11:17:15.000;5;Centro-oeste;DF;2;63;Financeira;27;Problemas com Contrato;F;Nao Informada;1;SKY BRASIL SERVIÇOS LTDA;SKY
2015;1;1;2015-01-30 15:25:55.000;5;Centro-oeste;DF;3;63;Financeira;28;Problemas com Cobrança;F;entre 41 a 50 anos;1;SKY BRASIL SERVIÇOS LTDA;SKY
2015;1;1;2015-01-21 12:10:31.000;5;Centro-oeste;GO;6;129;Carros;102;Problemas com Garantia de Produtos;M;entre 51 a 60 anos;1;AUTOESTE AUTOMOVEIS LTDA;AUTOESTE
2015;1;3;2015-03-24 08:51:46.000;5;Centro-oeste;MS;9;94;Eletrodomésticos Linha Branca;102;Problemas com Garantia de Produtos;F;entre 61 a 70 anos;1;LUIZASEG SEGUROS S.A.;LUIZASEG
2015;1;2;2015-02-23 14:55:55.000;3;Sudeste;SP;3;94;Eletrodomésticos Linha Branca;102;Problemas com Garantia de Produtos;F;entre 41 a 50 anos;1;LUIZASEG SEGUROS S/A;LUIZASEG
2015;1;3;2015-03-02 14:04:45.000;3;Sudeste;MG;3;54;Cartão de Crédito;28;Problemas com Cobrança;F;entre 51 a 60 anos;1;CRS DE VENDAS ONLINE EIRELI - ME;WWW.MEGAZINET.COM.BR
2015;1;3;2015-03-30 09:53:34.000;3;Sudeste;SP;6;234;Curso de Informática;203;Problemas com Contrato;M;entre 31 a 40 anos;1;TIAGO DO PRADO PIMENTEL ME;SISTEMA DE ENSINO PROFISSIONAL E UNIVERSITARIO
2015;1;2;2015-02-19 11:39:55.000;3;Sudeste;SP;6;76;Outros Contratos;28;Problemas com Cobrança;F;entre 31 a 40 anos;1;S612;
2015;1;1;2015-01-28 17:03:04.000;5;Centro-oeste;MT;3;253;Construção / Reforma / Montagem / Acabamento;186;Vício ou Má Qualidade de Produto ou Serviço;F;entre 41 a 50 anos;1;CLEITON DE SOUZA  CONCEICAO - ME;SHOP DA CALHA
2015;1;1;2015-01-27 08:45:34.000;3;Sudeste;SP;2;53;Banco comercial;244;Problemas com SAC;M;entre 61 a 70 anos;1;BANCO INTERMEDIUM S/A;BANCO INTERMEDIUM S/A
2015;1;1;2015-01-06 13:55:20.000;3;Sudeste;SP;3;106;Artigo de Leitura (Jornal, Revista, Livros etc.);120;Problemas com Cobrança;F;entre 31 a 40 anos;1;L.A.M. FOLINI COBRANÇAS - ME;MUNDIAL EDITORA
2015;1;1;2015-01-29 14:44:32.000;3;Sudeste;SP;3;284;Plano de Saúde;154;Problemas com Contrato;F;entre 41 a 50 anos;1;UNIMED PAULISTANA SOC COOPERATIVA DE TRABALHO MEDICO;NULL
2015;1;2;2015-02-19 10:46:37.000;3;Sudeste;SP;3;54;Cartão de Crédito;60;Vício ou Má Qualidade de Produto ou Serviço;F;entre 31 a 40 anos;1;PERNAMBUCANAS FINANCIADORA S/A CRED FIN E INVESTIMENTO;
2015;1;2;2015-02-19 16:43:06.000;3;Sudeste;SP;2;187;Telefonia Celular;132;Problemas com Desistência de Compra ou Contratação;F;entre 21 a 30 anos;1;ON TELECOM;ON TELECOM
2015;1;1;2015-01-06 09:34:20.000;3;Sudeste;SP;3;284;Plano de Saúde;149;Problemas com Contrato;F;entre 41 a 50 anos;1;NEWMED COMPANY;NEWMED
2015;1;3;2015-03-17 13:03:00.000;2;Nordeste;BA;2;284;Plano de Saúde;151;Problemas com Contrato;F;entre 41 a 50 anos;1;QUALICORP ADMINISTRADORA DE BENEFICIOS S.A.;QUALICORP
2015;1;3;2015-03-13 14:49:02.000;4;Sul;SC;6;63;Financeira;28;Problemas com Cobrança;F;entre 21 a 30 anos;1;SKY BRASIL SERVICOS LTDA;SKY
2015;1;2;2015-02-06 13:26:16.000;2;Nordeste;CE;9;138;Feiras Itinerantes;120;Problemas com Cobrança;F;entre 51 a 60 anos;1;SERV BRASILEIRO DE APOIO AS MICRO E PEQ. EMPRESAS;SEBRAE
2015;1;3;2015-03-24 15:52:32.000;5;Centro-oeste;GO;6;101;Aparelho Celular;102;Problemas com Garantia de Produtos;M;entre 41 a 50 anos;1;REGIA COMERCIO DE INFORMATICA LTDA (PRIMETEK);PRIMETEK
2015;1;2;2015-02-05 14:24:21.000;3;Sudeste;MG;6;146;Televisão / Aparelho DVD / Filmadora;107;Problemas na Entrega de Produtos;F;entre 61 a 70 anos;1;B2W - COMP. GLOBAL DO VAREJO;AMERICANAS.COM / SHOPTIME / SUBMARINO
2015;1;2;2015-02-04 08:14:36.000;3;Sudeste;SP;3;126;Produtos Doméstico ( Escada, Balança, Overloque, Máquina de Costura / Tricô, Vassoura, Escova, Rodo, Saco de Lixo, Palha de Aço );114;Problemas na Entrega de Produtos;F;entre 61 a 70 anos;1;B2W COMPANHIA GLOBAL DO VAREJO;AMERICANAS.COM/SUBMARINO/SHOPTIME/SOUBARATO
2015;1;3;2015-03-20 09:01:50.000;3;Sudeste;SP;3;132;Vestuário ( Calçado / Roupa );105;Vício ou Má Qualidade de Produto ou Serviço;F;mais de 70 anos;1;NIKE DO BRASIL COMÉRCIO E PARTICIPAÇÕES LTDA;NIKE
2015;1;3;2015-03-19 16:15:11.000;3;Sudeste;SP;3;139;Eletrodoméstico Importado;102;Problemas com Garantia de Produtos;M;entre 51 a 60 anos;1;POLIMPORT COMERCIO E EXPORTACAO LTDA;POLISHOP ITUPEVA
2015;1;1;2015-01-08 10:12:30.000;3;Sudeste;RJ;2;126;Produtos Doméstico ( Escada, Balança, Overloque, Máquina de Costura / Tricô, Vassoura, Escova, Rodo, Saco de Lixo, Palha de Aço );107;Problemas na Entrega de Produtos;M;entre 61 a 70 anos;1;VIA VAREJO;NOVA CASA BAHIA
2015;1;2;2015-02-03 13:39:09.000;1;Norte;AC;3;63;Financeira;48;Problemas com Entrega de Documentos ao Consumidor;M;entre 51 a 60 anos;1;RENOVA CIA. SECURITIZADORA DE CRED. FINANCEIRO S.A;
2015;1;3;2015-03-16 10:08:03.000;3;Sudeste;SP;3;106;Artigo de Leitura (Jornal, Revista, Livros etc.);116;Problemas com Contrato;F;entre 41 a 50 anos;1;ABRIL COMUNICACOES S.A.;TV ABRIL
2015;1;2;2015-02-13 12:15:52.000;4;Sul;PR;2;259;TV por Assinatura;205;Problemas Diversos com Produtos e Serviços;M;Nao Informada;1;OI FIXA - OI S/A - AOP;TELEFONIA FIXA E BANDA LARGA FIXA - GRUPO OI - AOP
2015;1;2;2015-02-05 09:10:37.000;3;Sudeste;ES;3;95;Aparelho de Som;105;Vício ou Má Qualidade de Produto ou Serviço;M;entre 21 a 30 anos;1;MAIS BRASIL ATACADO E VAREJO S.A;ELETROSOM
2015;1;3;2015-03-18 15:25:57.000;3;Sudeste;ES;9;95;Aparelho de Som;105;Vício ou Má Qualidade de Produto ou Serviço;F;entre 31 a 40 anos;1;MAIS BRASIL ATACADO E VAREJO S/A;ELETROSOM
2015;1;3;2015-03-18 11:09:09.000;1;Norte;AC;6;63;Financeira;32;Problemas com Cobrança;M;entre 41 a 50 anos;1;RENOVA CIA. SECURITIZADORA DE CRED. FINANCEIRO S.A;
2015;1;1;2015-01-07 10:12:05.000;5;Centro-oeste;GO;6;106;Artigo de Leitura (Jornal, Revista, Livros etc.);116;Problemas com Contrato;M;entre 31 a 40 anos;1;ABRIL COMUNICAÇÕES S.A.;TV ABRIL - EDITORA ABRIL
2015;1;1;2015-01-10 14:07:31.000;2;Nordeste;BA;3;122;Móveis;107;Problemas na Entrega de Produtos;F;entre 21 a 30 anos;1;NOVA CASA BAHIA S/A;CASAS BAHIA
2015;1;1;2015-01-16 14:58:31.000;3;Sudeste;RJ;6;120;Móveis;107;Problemas na Entrega de Produtos;F;Nao Informada;1;VIA VAREJO;NOVA CASA BAHIA
2015;1;3;2015-03-19 16:03:23.000;3;Sudeste;MG;6;123;Móveis;107;Problemas na Entrega de Produtos;F;entre 21 a 30 anos;1;NOVA CASA BAHIA S/A (NAO USAR ESTE);CASAS BAHIA
2015;1;3;2015-03-26 15:28:30.000;1;Norte;TO;6;120;Móveis;107;Problemas na Entrega de Produtos;M;entre 31 a 40 anos;1;CASA BAHIA S/A;CASAS BAHIA MATRIZ
2015;1;3;2015-03-11 09:26:12.000;3;Sudeste;MG;3;120;Móveis;107;Problemas na Entrega de Produtos;M;entre 41 a 50 anos;1;NOVA CASA BAHIA S/A;CASAS BAHIA
2015;1;3;2015-03-04 16:30:02.000;2;Nordeste;BA;3;122;Móveis;107;Problemas na Entrega de Produtos;F;entre 31 a 40 anos;1;NOVA CASA BAHIA S/A;CASAS BAHIA
2015;1;3;2015-03-12 09:41:30.000;2;Nordeste;BA;3;122;Móveis;107;Problemas na Entrega de Produtos;M;entre 21 a 30 anos;1;NOVA CASA BAHIA S/A;CASAS BAHIA
2015;1;2;2015-02-02 12:25:37.000;3;Sudeste;SP;3;276;Agências e Operadoras de viagens (pacotes turísticos);183;Vício ou Má Qualidade de Produto ou Serviço;M;Nao Informada;1;DECOLAR.COM LTDA;AGÊNCIA DECOLAR
2015;1;3;2015-03-17 14:34:51.000;2;Nordeste;PE;3;92;Eletrodomésticos Linha Branca;105;Vício ou Má Qualidade de Produto ou Serviço;M;entre 41 a 50 anos;1;CARDIF DO BRASIL SEGUROS E GARANTIAS S/A;
2015;1;3;2015-03-23 10:45:15.000;5;Centro-oeste;GO;9;276;Agências e Operadoras de viagens (pacotes turísticos);183;Vício ou Má Qualidade de Produto ou Serviço;F;entre 61 a 70 anos;1;DECOLAR. COM LTDA.;DECOLAR.COM - FILIAL
2015;1;3;2015-03-26 12:52:38.000;2;Nordeste;PE;9;284;Plano de Saúde;221;Problemas com Contrato;F;entre 51 a 60 anos;1;SULAMERICA COMPANHIA DE SEGURO SAUDE;
