AnoAtendimento;TrimestreAtendimento;MesAtendimento;DataAtendimento;CodigoRegiao;Regiao;UF;CodigoTipoAtendimento;CodigoAssunto;GrupoAssunto;CodigoProblema;GrupoProblema;SexoConsumidor;FaixaEtariaConsumidor;TipoFornecedor;RazaoSocialSindec;NomeFantasiaSindec
2015;1;3;2015-03-11 12:20:20.000;5;Centro-oeste;MS;6;187;Telefonia Celular;123;Vício ou Má Qualidade de Produto ou Serviço;F;entre 21 a 30 anos;1;AMERICEL S/A @;CLARO @
2015;1;2;2015-02-24 09:20:04.000;5;Centro-oeste;MS;6;102;Microcomputador / Produtos de Informática;102;Problemas com Garantia de Produtos;F;entre 41 a 50 anos;1;MAGAZINE LUIZA S/A;MAGAZINE LUIZA - MATRIZ
2015;1;2;2015-02-09 17:30:41.000;4;Sul;SC;3;183;Água / Esgoto;134;Problemas com Cobrança;F;entre 61 a 70 anos;1;COMPANHIA CATARINENSE DE AGUAS E SANEAMENTO CASAN;CASAN
2015;1;1;2015-01-26 10:02:55.000;3;Sudeste;SP;3;186;Telefonia Fixa;134;Problemas com Cobrança;F;entre 61 a 70 anos;1;TELEFONICA BRASIL S/A;VIVO/TELEFÔNICA
2015;1;3;2015-03-27 10:39:25.000;2;Nordeste;CE;3;186;Telefonia Fixa;123;Vício ou Má Qualidade de Produto ou Serviço;F;entre 21 a 30 anos;1;TELEMAR NORTE LESTE S/A;OI ( FIXO )
2015;1;2;2015-02-12 15:14:23.000;4;Sul;RS;6;137;Internet;116;Problemas com Contrato;F;entre 21 a 30 anos;1;GLOBAL VILLAGE TELECOM GVT LTDA.;GVT
2015;1;1;2015-01-16 16:43:17.000;3;Sudeste;MG;6;259;TV por Assinatura;203;Problemas com Contrato;M;Nao Informada;1;SKY BRASIL SERVIÇOS LTDA;SKY
2015;1;2;2015-02-25 15:08:32.000;3;Sudeste;ES;3;131;Carros;105;Vício ou Má Qualidade de Produto ou Serviço;F;entre 21 a 30 anos;1;A J A AUTOMOVEIS LTDA-ME;ROYAL VEICULOS
2015;1;3;2015-03-17 12:24:57.000;2;Nordeste;AL;3;54;Cartão de Crédito;28;Problemas com Cobrança;F;Nao Informada;1;LOJAS INSINUANTE LTDA;LOJAS INSINUANTE
2015;1;2;2015-02-21 12:09:24.000;3;Sudeste;SP;2;82;Incorporação ( Construtoras e Incorporadoras );85;Problemas com Contrato;M;entre 21 a 30 anos;1;MRV ENGENHARIA E PARTICIPAÇÕES S/A;NULL
2015;1;1;2015-01-22 15:45:20.000;3;Sudeste;RJ;6;249;Assistência Técnica;183;Vício ou Má Qualidade de Produto ou Serviço;F;entre 51 a 60 anos;1;ITAU SEGUROS S.A GARANTECH;GARANTECH
2015;1;1;2015-01-08 15:00:05.000;3;Sudeste;MG;6;54;Cartão de Crédito;28;Problemas com Cobrança;F;entre 31 a 40 anos;1;COMERCIO DE MOVEIS BABY FOFO LTDA;BABY FOFO
2015;1;2;2015-02-02 14:33:56.000;5;Centro-oeste;MT;3;101;Aparelho Celular;105;Vício ou Má Qualidade de Produto ou Serviço;M;entre 21 a 30 anos;1;SAMSUNG ELETRONICA DA AMAZONIA LTDA;SAMSUNG
2015;1;2;2015-02-26 14:12:48.000;2;Nordeste;RN;9;54;Cartão de Crédito;28;Problemas com Cobrança;F;entre 51 a 60 anos;1;TIM TELECOMUNICAÇÕES DO NORDESTE S/A;TIM
2015;1;1;2015-01-15 14:33:21.000;5;Centro-oeste;MS;2;53;Banco comercial;30;Problemas com Cobrança;M;entre 31 a 40 anos;1;CAIXA ECONOMICA FEDERAL;CEF MATRIZ
2015;1;3;2015-03-14 12:12:50.000;3;Sudeste;SP;3;187;Telefonia Celular;134;Problemas com Cobrança;F;entre 31 a 40 anos;1;TIM CELULAR S/A;TIM CELULAR
2015;1;3;2015-03-04 14:29:09.000;1;Norte;TO;9;101;Aparelho Celular;105;Vício ou Má Qualidade de Produto ou Serviço;F;entre 31 a 40 anos;1;SAMSUNG ELETRONICA DA AMAZONIA LTDA;SAMSUNG
2015;1;3;2015-03-17 11:26:22.000;3;Sudeste;MG;6;186;Telefonia Fixa;134;Problemas com Cobrança;F;entre 51 a 60 anos;1;OI S/A (CENTRAL DA OI PARA TODOS SERVIÇOS);OI S/A (CENTRAL DA OI PARA TODOS SERVIÇOS)
2015;1;3;2015-03-27 16:30:44.000;2;Nordeste;BA;3;185;Energia Elétrica;212;Problemas com Cobrança;F;entre 51 a 60 anos;1;COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA;COELBA
2015;1;3;2015-03-10 10:49:43.000;3;Sudeste;SP;3;259;TV por Assinatura;195;Problemas com Cobrança;F;mais de 70 anos;1;CLARO S.A. (NET);NET MSO
2015;1;1;2015-01-12 09:15:44.000;2;Nordeste;CE;3;94;Eletrodomésticos Linha Branca;102;Problemas com Garantia de Produtos;F;entre 31 a 40 anos;1;WHIRLPOOL S/A  (BRASTEMP E CONSUL);BRASTEMP E CONSUL
2015;1;1;2015-01-05 16:01:33.000;5;Centro-oeste;GO;3;97;Eletroportáteis ( Batedeira, Liqüidificador, Espremedor de Frutas, Etc. );105;Vício ou Má Qualidade de Produto ou Serviço;M;entre 21 a 30 anos;1;NOVO MUNDO MOVEIS E UTILIDADES LTDA;WWW.NOVOMUNDO.COM.BR / CIP ELETRÔNICA
2015;1;2;2015-02-12 12:40:29.000;2;Nordeste;CE;3;101;Aparelho Celular;105;Vício ou Má Qualidade de Produto ou Serviço;M;entre 41 a 50 anos;1;VIA VAREJO S/A;PONTOFRIO/CASAS BAHIA ( LOJAS FISICAS )
2015;1;1;2015-01-27 10:00:12.000;3;Sudeste;SP;3;96;Televisão / Aparelho DVD / Filmadora;117;Risco à Saúde e Segurança / Acidente de Consumo;M;entre 41 a 50 anos;1;NET SERVIÇOS DE COMUNICAÇÃO S/A;
2015;1;3;2015-03-13 11:44:25.000;5;Centro-oeste;MT;10;63;Financeira;32;Problemas com Cobrança;F;entre 61 a 70 anos;1;CAIXA ECONOMICA FEDERAL;AGENCIA PAIAGUAS EST UNIF MT - AG.0016
